X,Y,Previous_X,Previous_Y,X_velocity,Spike_0,Spike_1,Spike_2,Spike_3,Spike_4,Spike_5,Spike_6,Spike_7,Spike_8,Spike_9,Spike_10,Spike_11,Jump
219.0,439.0,219.0,439.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0219.0,439.0,219.0,439.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
223.0,432.3,219.0,439.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
227.0,425.90000000000003,223.0,432.3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
231.0,419.8,227.0,425.90000000000003,4,0,0,0,0,0,0,0,0,0,0,0,0,0
235.0,414.0,231.0,419.8,4,0,0,0,0,0,0,0,0,0,0,0,0,0
239.0,408.5,235.0,414.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
243.0,403.3,239.0,408.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
247.0,398.40000000000003,243.0,403.3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
251.0,393.8,247.0,398.40000000000003,4,0,0,0,0,0,0,0,0,0,0,0,0,0
255.0,389.5,251.0,393.8,4,0,0,0,0,0,0,0,0,0,0,0,0,0
259.0,385.5,255.0,389.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
263.0,381.8,259.0,385.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
267.0,378.40000000000003,263.0,381.8,4,0,0,0,0,0,0,0,0,0,0,0,0,0
271.0,375.3,267.0,378.40000000000003,4,0,0,0,0,0,0,0,0,0,0,0,0,0
275.0,372.5,271.0,375.3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
279.0,370.0,275.0,372.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
283.0,367.8,279.0,370.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
287.0,365.90000000000003,283.0,367.8,4,0,0,0,0,0,0,0,0,0,0,0,0,0
291.0,364.3,287.0,365.90000000000003,4,0,0,0,0,0,0,0,0,0,0,0,0,0
295.0,363.0,291.0,364.3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
299.0,362.0,295.0,363.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
303.0,361.3,299.0,362.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
307.0,360.90000000000003,303.0,361.3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
311.0,360.8,307.0,360.90000000000003,4,0,0,0,0,0,0,0,0,0,0,0,0,0
315.0,361.0,311.0,360.8,4,0,0,0,0,0,0,0,0,0,0,0,0,0
319.0,361.5,315.0,361.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
323.0,362.3,319.0,361.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
327.0,363.40000000000003,323.0,362.3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
331.0,364.8,327.0,363.40000000000003,4,0,0,0,0,0,0,0,0,0,0,0,0,0
335.0,366.5,331.0,364.8,4,0,0,0,0,0,0,0,0,0,0,0,0,0
339.0,368.5,335.0,366.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
343.0,370.8,339.0,368.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
347.0,373.40000000000003,343.0,370.8,4,0,0,0,0,0,0,0,0,0,0,0,0,0
351.0,376.3,347.0,373.40000000000003,4,0,0,0,0,0,0,0,0,0,0,0,0,0
355.0,379.5,351.0,376.3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
359.0,383.0,355.0,379.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
363.0,386.8,359.0,383.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
367.0,390.90000000000003,363.0,386.8,4,0,0,0,0,0,0,0,0,0,0,0,0,0
371.0,395.3,367.0,390.90000000000003,4,0,0,0,0,0,0,0,0,0,0,0,0,0
375.0,400.0,371.0,395.3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
379.0,405.0,375.0,400.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
383.0,410.3,379.0,405.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
387.0,415.90000000000003,383.0,410.3,4,0,0,0,0,0,0,0,0,0,0,0,0,1
391.0,408.90000000000003,387.0,415.90000000000003,4,0,0,0,0,0,0,0,0,0,0,0,0,0
395.0,402.20000000000005,391.0,408.90000000000003,4,0,0,0,0,0,0,0,0,0,0,0,0,0
399.0,395.80000000000007,395.0,402.20000000000005,4,0,0,0,0,0,0,0,0,0,0,0,0,0
403.0,389.70000000000005,399.0,395.80000000000007,4,0,0,0,0,0,0,0,0,0,0,0,0,0
407.0,383.90000000000003,403.0,389.70000000000005,4,0,0,0,0,0,0,0,0,0,0,0,0,0
411.0,378.40000000000003,407.0,383.90000000000003,4,0,0,0,0,0,0,0,0,0,0,0,0,0
415.0,373.20000000000005,411.0,378.40000000000003,4,0,0,0,0,0,0,0,0,0,0,0,0,0
419.0,368.30000000000007,415.0,373.20000000000005,4,0,0,0,0,0,0,0,0,0,0,0,0,0
423.0,363.70000000000005,419.0,368.30000000000007,4,0,0,0,0,0,0,0,0,0,0,0,0,0
427.0,359.40000000000003,423.0,363.70000000000005,4,0,0,0,0,0,0,0,0,0,0,0,0,0
431.0,355.40000000000003,427.0,359.40000000000003,4,0,0,0,0,0,0,0,0,0,0,0,0,0
435.0,351.70000000000005,431.0,355.40000000000003,4,0,0,0,0,0,0,0,0,0,0,0,0,0
438,348.30000000000007,435.0,351.70000000000005,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
434,345.20000000000005,438,348.30000000000007,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
430,342.40000000000003,434,345.20000000000005,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
426,339.90000000000003,430,342.40000000000003,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
422,337.70000000000005,426,339.90000000000003,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
418,335.80000000000007,422,337.70000000000005,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
414,334.20000000000005,418,335.80000000000007,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
410,332.90000000000003,414,334.20000000000005,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
406,331.90000000000003,410,332.90000000000003,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
402,331.20000000000005,406,331.90000000000003,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
398,330.80000000000007,402,331.20000000000005,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
394,330.70000000000005,398,330.80000000000007,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
390,330.90000000000003,394,330.70000000000005,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
386,331.40000000000003,390,330.90000000000003,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
382,332.20000000000005,386,331.40000000000003,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
378,333.30000000000007,382,332.20000000000005,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
374,334.70000000000005,378,333.30000000000007,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
370,336.40000000000003,374,334.70000000000005,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
366,338.40000000000003,370,336.40000000000003,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
362,340.70000000000005,366,338.40000000000003,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
358,343.30000000000007,362,340.70000000000005,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
354,346.20000000000005,358,343.30000000000007,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
350,349.40000000000003,354,346.20000000000005,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
346,352.90000000000003,350,349.40000000000003,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
342,356.70000000000005,346,352.90000000000003,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
